Item Number,Item Name,Item Description,Attribute,Size,Regular Price,Department Name,Manufacturer,Qty 1
740,R11B-18,ITP MEGA MAYHEM,C,AT27X9-12,102.392,ATV TIRES,ITP,1
741,R11B-19,ANTARES MAJORIS M5,XL,225/35ZR20,79.992,AUTO TIRES,ANTARES,1
742,R11B-20,SENTURY UHP,XL,245/35ZR20,58.128,AUTO TIRES,SENTURY,1
743,R11B-21,PIRELLI P ZERO,XL,245/40R20,270.376,AUTO TIRES,PIRELLI,1
744,R11C-01,DURUN M626,XL,285/25ZR20,71.328,AUTO TIRES,DURUN,1
745,R11C-02,DURUN M626,XL,285/25ZR20,71.328,AUTO TIRES,DURUN,1
746,R11C-03,LEXANI LX-TWENTY,XL,275/35ZR20,69.048,AUTO TIRES,LEXANI,1
747,R11C-04,NANKANG NOBLE SPORT NS-20,XL,245/30ZR20,73.968,AUTO TIRES,NANKANG,1
748,R11C-05,BRIDGESTONE DUELER H/L ALENZA PLUS,SL,255/55R20,162.392,AUTO TIRES,BRIDGESTONE,1
749,R11C-06,NITTO NT555 G2,XL,285/35ZR20,162.4,AUTO TIRES,NITTO,1
750,R11C-07,FUEL GRIPPER A/T,E,305/55R20,254.872,AUTO TIRES,FUEL,1
751,R11C-08,FUEL GRIPPER M/T,E,33X12.50R20,275.032,AUTO TIRES,FUEL,1
752,R11C-09,FIRESTONE FIREHAWK INDY 500,XL,245/40R19,138.744,AUTO TIRES,FIRESTONE,1
753,R11C-10,ANTARES COMFORT A5,SL,265/45ZR20,101.072,AUTO TIRES,ANTARES,1
754,R11C-11,TOYO A/T OPEN COUNTRY,E,275/65R20,236,AUTO TIRES,TOYO,1
755,R11C-12,LINGLONG CROSSWIND M/T,E,235/80R17,105.104,AUTO TIRES,LINGLONG,1
756,R11C-13,TOYO M/T OPEN COUNTRY,E,37X13.50R20,381.656,AUTO TIRES,TOYO,1
757,R11C-14,COOPER DISCOVERER STT PRO,E,295/65R20,279.992,AUTO TIRES,COOPER,1
758,R11C-15,NITTO RIDGE GRAPPLER,E,295/55R20,263.2,AUTO TIRES,NITTO,1
759,R11C-16,FUEL GRIPPER M/T,E,35X12.50R20,260,AUTO TIRES,FUEL,1
760,R11C-17,FUEL GRIPPER M/T,E,35X12.50R20,260,AUTO TIRES,FUEL,1
761,R11C-18,GOODYEAR WRANGLER DURATRAC,SL,275/55R20,148,AUTO TIRES,GOODYEAR,1
762,R12B-10,LEXANI LX-TWENTY,XL,295/30ZR24,108.688,AUTO TIRES,LEXANI,1
763,R12B-11,DELINTE DESERT STORM DS8,XL,275/25ZR24,105.6,AUTO TIRES,DELINTE,1
764,R12B-20,LEXANI LX-THIRTY,XL,305/30ZR26,89.904,AUTO TIRES,LEXANI,1
765,R12C-01,LIONHART LH-FIVE,SL,265/45ZR20,70.976,AUTO TIRES,LIONHART,1
766,R12C-02,TOYO A/T II OPEN COUNTRY XTREME,E,305/55R20,272,AUTO TIRES,TOYO,1
767,R12C-03,GOODYEAR WRANGLER,SL,275/60R20,116,AUTO TIRES,GOODYEAR,1
768,R12C-04,HANKOOK DYNAPRO AT-M,E,285/70R17,165.256,AUTO TIRES,HANKOOK,1
769,R12C-05,COOPER DISCOVERER AT3 XLT,E,325/60R20,295.192,AUTO TIRES,COOPER,1
770,R12C-06,PATRIOT M/T,E,33X12.50R20,140.904,AUTO TIRES,PATRIOT,1
771,R12C-07,HANKOOK DYNAPRO AT-M,SL,275/55R20,142.36,AUTO TIRES,HANKOOK,1
772,R12C-08,GOODYEAR WRANGLER SR-A,SL,275/60R20,109.2,AUTO TIRES,GOODYEAR,1
773,R12C-09,FIRESTONE FIREHAWK INDY 500,XL,245/40R19,138.744,AUTO TIRES,FIRESTONE,1
774,R12C-10,BRIDGESTONE DUELER A/T RH-S,SL,285/45R22,214.376,AUTO TIRES,BRIDGESTONE,0
775,R12C-11,BRIDGESTONE DUELER A/T RH-S,SL,285/45R22,214.376,AUTO TIRES,BRIDGESTONE,0
776,R12C-12,MICHELIN PREMIER LTX,XL,285/45R22,207.992,AUTO TIRES,MICHELIN,1
777,R12C-13,BRIDGESTONE DUELER H/L ALENZA,SL,285/45R22,143.36,AUTO TIRES,BRIDGESTONE,0
778,R12C-14,GOODYEAR FORTERA SL EDITION,SL,305/40R22,197.824,AUTO TIRES,GOODYEAR,1
779,R12C-15,ROADCLAW RS680,XL,265/35R22,60,AUTO TIRES,ROADCLAW,1
780,R12C-16,ZEETEX SU1000,XL,265/35ZR22,75.584,AUTO TIRES,ZEETEX,1
781,R12C-17,ANTARES MAJORIS M5,XL,265/35R22,78.784,AUTO TIRES,ANTARES,1
782,R12C-18,DELINTE DESERT STORM D8+,XL,265/35ZR22,88.8,AUTO TIRES,DELINTE,1
783,R13A-01,SUPERMAX TM-1,SL,235/65R18,60.768,AUTO TIRES,SUPERMAX,1
784,R13A-02,CARLISLE RADIAL TRAIL HD,D,205/75/14,55.168,TRAILER TIRES,CARLISLE,1
785,R13A-03,SUPERMAX TM-1,SL,185/65R14,35.968,AUTO TIRES,SUPERMAX,0
786,R13A-04,SUPERMAX TM-1,SL,185/65R14,35.968,AUTO TIRES,SUPERMAX,0
787,R13A-05,WESTLAKE RADIAL RP18,SL,155/80R13,31.168,AUTO TIRES,WESTLAKE,1
788,R13A-06,GENERAL ALTIMAX RT43,SL,185/60R14,56.8,AUTO TIRES,GENERAL,1
789,R13A-07,GENERAL ALTIMAX RT43,SL,185/60R14,56.8,AUTO TIRES,GENERAL,1
790,R13A-08,SOLAR 4XS,SL,175/65R15,43.176,AUTO TIRES,SOLAR,1
791,R13A-09,SUPERMAX TM-1,SL,195/70R14,38.368,AUTO TIRES,SUPERMAX,1
792,R13A-10,MILESTAR MS932 SPORT,SL,195/60R15,37.568,AUTO TIRES,MILESTAR,1
793,R13A-11,SUMIC GT65A,SL,185/65R14,36.776,AUTO TIRES,SUMIC,1
794,R13A-12,SUPERMAX TM-1,SL,195/65R15,37.568,AUTO TIRES,SUPERMAX,1
795,R13A-13,SUPERMAX TM-1,SL,195/60R15,38.368,AUTO TIRES,SUPERMAX,1
796,R13A-14,SUPERMAX TM-1,SL,185/65R14,35.968,AUTO TIRES,SUPERMAX,0
797,R13A-15,SUPERMAX TM-1,SL,195/70R14,38.368,AUTO TIRES,SUPERMAX,1
798,R13A-16,KUMHO SOLUS TA11,SL,185/70R13,46.312,AUTO TIRES,KUMHO,1
799,R13A-17,MAXAUTO WR-078,D,175/80R13,43.992,TRAILER TIRES,MAXAUTO,1
800,R13A-18,SUPERMAX TM-1,SL,175/70R13,32.768,AUTO TIRES,SUPERMAX,1
801,R13A-19,GENERAL ALTIMAX RT43,SL,175/70R13,53.592,AUTO TIRES,GENERAL,1
802,R13A-20,MILESTAR MS932 SPORT,SL,195/60R15,37.568,AUTO TIRES,MILESTAR,1
803,R13A-21,SUPERMAX TM-1,SL,175/70R13,32.768,AUTO TIRES,SUPERMAX,1
804,R13A-22,SUPERMAX TM-1,SL,175/70R13,32.768,AUTO TIRES,SUPERMAX,1
805,R13A-23,SUPERMAX TM-1,SL,175/70R13,32.768,AUTO TIRES,SUPERMAX,1
806,R13B-01,DUNLOP SP37 A/S,SL,175/65R15,128.12,AUTO TIRES,DUNLOP,1
807,R13B-02,ANTARES INGENS A1,SL,195/55R15,44.056,AUTO TIRES,ANTARES,1
808,R13B-03,SUPERMAX TM-1,SL,185/65R15,38.368,AUTO TIRES,SUPERMAX,1
809,R13B-04,SUPERMAX TM-1,SL,215/60R15,44.768,AUTO TIRES,SUPERMAX,1
810,R13B-05,DOUGLAS ALL SEASON,SL,185/65R15,35.2,AUTO TIRES,DOUGLAS,1
811,R13B-06,HANKOOK KINERGY PT,SL,185/65R14,51.448,AUTO TIRES,HANKOOK,1
812,R13B-07,VREDESTEIN QUATRAC 5,SL,175/65R15,68.712,AUTO TIRES,VREDESTEIN,1
